"[STCODE_11]시도별","시도별","[STCODE_12]설립주체별","설립주체별","[STCODE_13]학교현황별","학교현황별","시점","중학교 개황",
"00","총계","A001","계","G_3","1학년","2015 년","16297",
"00","총계","A001","계","G_3","1학년","2016 년","16754",
"00","총계","A001","계","G_3","1학년","2017 년","16525",
"00","총계","A001","계","G_3","1학년","2018 년","15857",
"00","총계","A001","계","G_3","1학년","2019 년","16428",
"00","총계","A001","계","G_3","1학년","2020 년","17378",
"00","총계","A001","계","G_3","1학년","2021 년","16724",
"00","총계","A001","계","G_3","1학년","2022 년","16676",
"00","총계","A001","계","G_4","2학년","2013 년","17981",
"00","총계","A001","계","G_4","2학년","2014 년","18520",
"00","총계","A001","계","G_4","2학년","2015 년","17399",
"00","총계","A001","계","G_4","2학년","2016 년","16455",
"00","총계","A001","계","G_4","2학년","2017 년","16880",
"00","총계","A001","계","G_4","2학년","2018 년","16642",
"00","총계","A001","계","G_4","2학년","2019 년","15982",
"00","총계","A001","계","G_4","2학년","2020 년","16420",
"00","총계","A001","계","G_4","2학년","2021 년","17414",
"00","총계","A001","계","G_4","2학년","2022 년","16994",
"00","총계","A001","계","G_5","3학년","2013 년","18412",
"00","총계","A001","계","G_5","3학년","2014 년","18239",
"00","총계","A001","계","G_5","3학년","2015 년","18799",
"00","총계","A001","계","G_5","3학년","2016 년","17627",
"00","총계","A001","계","G_5","3학년","2017 년","16537",
"00","총계","A001","계","G_5","3학년","2018 년","16974",
"00","총계","A001","계","G_5","3학년","2019 년","16754",
"00","총계","A001","계","G_5","3학년","2020 년","15932",
"00","총계","A001","계","G_5","3학년","2021 년","16401",
"00","총계","A001","계","G_5","3학년","2022 년","17682",
"00","총계","A001","계","G_2","특수학급","2013 년","2264",
"00","총계","A001","계","G_2","특수학급","2014 년","2349",
"00","총계","A001","계","G_2","특수학급","2015 년","2360",
"00","총계","A001","계","G_2","특수학급","2016 년","2348",
"00","총계","A001","계","G_2","특수학급","2017 년","2352",
"00","총계","A001","계","G_2","특수학급","2018 년","2359",
"00","총계","A001","계","G_2","특수학급","2019 년","2370",
"00","총계","A001","계","G_2","특수학급","2020 년","2465",
"00","총계","A001","계","G_2","특수학급","2021 년","2514",
"00","총계","A001","계","G_2","특수학급","2022 년","2603",
"00","총계","A001","계","H_1","학생수","2013 년","1804189",
"00","총계","A001","계","H_1","학생수","2014 년","1717911",
"00","총계","A001","계","H_1","학생수","2015 년","1585951",
"00","총계","A001","계","H_1","학생수","2016 년","1457490",
"00","총계","A001","계","H_1","학생수","2017 년","1381334",
"00","총계","A001","계","H_1","학생수","2018 년","1334288",
"00","총계","A001","계","H_1","학생수","2019 년","1294559",
"00","총계","A001","계","H_1","학생수","2020 년","1315846",
"00","총계","A001","계","H_1","학생수","2021 년","1350770",
"00","총계","A001","계","H_1","학생수","2022 년","1348428",
"00","총계","A001","계","H_2","여자","2013 년","859506",
"00","총계","A001","계","H_2","여자","2014 년","819331",
"00","총계","A001","계","H_2","여자","2015 년","756033",
"00","총계","A001","계","H_2","여자","2016 년","696393",
"00","총계","A001","계","H_2","여자","2017 년","661045",
"00","총계","A001","계","H_2","여자","2018 년","640686",
"00","총계","A001","계","H_2","여자","2019 년","623115",
"00","총계","A001","계","H_2","여자","2020 년","635421",
"00","총계","A001","계","H_2","여자","2021 년","654046",
"00","총계","A001","계","H_2","여자","2022 년","653883",
"00","총계","A001","계","H_3","1학년","2013 년","600658",
"00","총계","A001","계","H_3","1학년","2014 년","528857",
"00","총계","A001","계","H_3","1학년","2015 년","462990",
"00","총계","A001","계","H_3","1학년","2016 년","470885",
"00","총계","A001","계","H_3","1학년","2017 년","452231",
"00","총계","A001","계","H_3","1학년","2018 년","416848",
"00","총계","A001","계","H_3","1학년","2019 년","431245",
"00","총계","A001","계","H_3","1학년","2020 년","473365",
"00","총계","A001","계","H_3","1학년","2021 년","449537",
"00","총계","A001","계","H_3","1학년","2022 년","430054",
"00","총계","A001","계","H_31","여자","2013 년","285796",
"00","총계","A001","계","H_31","여자","2014 년","252855",
"00","총계","A001","계","H_31","여자","2015 년","220455",
"00","총계","A001","계","H_31","여자","2016 년","225575",
"00","총계","A001","계","H_31","여자","2017 년","217336",
"00","총계","A001","계","H_31","여자","2018 년","200540",
"00","총계","A001","계","H_31","여자","2019 년","208015",
"00","총계","A001","계","H_31","여자","2020 년","229671",
"00","총계","A001","계","H_31","여자","2021 년","218002",
"00","총계","A001","계","H_31","여자","2022 년","208472",
"00","총계","A001","계","H_4","2학년","2013 년","593260",
"00","총계","A001","계","H_4","2학년","2014 년","598356",
"00","총계","A001","계","H_4","2학년","2015 년","526895",
"00","총계","A001","계","H_4","2학년","2016 년","461349",
"00","총계","A001","계","H_4","2학년","2017 년","469168",
"00","총계","A001","계","H_4","2학년","2018 년","450253",
"00","총계","A001","계","H_4","2학년","2019 년","415189",
"00","총계","A001","계","H_4","2학년","2020 년","429302",
"00","총계","A001","계","H_4","2학년","2021 년","472460",
"00","총계","A001","계","H_4","2학년","2022 년","447603",
"00","총계","A001","계","H_41","여자","2013 년","283145",
"00","총계","A001","계","H_41","여자","2014 년","284651",
"00","총계","A001","계","H_41","여자","2015 년","251962",
"00","총계","A001","계","H_41","여자","2016 년","219655",
"00","총계","A001","계","H_41","여자","2017 년","224793",
"00","총계","A001","계","H_41","여자","2018 년","216376",
"00","총계","A001","계","H_41","여자","2019 년","199817",
"00","총계","A001","계","H_41","여자","2020 년","207132",
"00","총계","A001","계","H_41","여자","2021 년","229245",
"00","총계","A001","계","H_41","여자","2022 년","217118",
"00","총계","A001","계","H_5","3학년","2013 년","610271",
"00","총계","A001","계","H_5","3학년","2014 년","590698",
"00","총계","A001","계","H_5","3학년","2015 년","596066",
"00","총계","A001","계","H_5","3학년","2016 년","525256",
"00","총계","A001","계","H_5","3학년","2017 년","459935",
"00","총계","A001","계","H_5","3학년","2018 년","467187",
"00","총계","A001","계","H_5","3학년","2019 년","448125",
"00","총계","A001","계","H_5","3학년","2020 년","413179",
"00","총계","A001","계","H_5","3학년","2021 년","428773",
"00","총계","A001","계","H_5","3학년","2022 년","470771",
"00","총계","A001","계","H_51","여자","2013 년","290565",
"00","총계","A001","계","H_51","여자","2014 년","281825",
"00","총계","A001","계","H_51","여자","2015 년","283616",
"00","총계","A001","계","H_51","여자","2016 년","251163",
"00","총계","A001","계","H_51","여자","2017 년","218916",
"00","총계","A001","계","H_51","여자","2018 년","223770",
"00","총계","A001","계","H_51","여자","2019 년","215283",
"00","총계","A001","계","H_51","여자","2020 년","198618",
"00","총계","A001","계","H_51","여자","2021 년","206799",
"00","총계","A001","계","H_51","여자","2022 년","228293",
"00","총계","A002","국립","A_1","학교수","2013 년","9",
"00","총계","A002","국립","A_1","학교수","2014 년","9",
"00","총계","A002","국립","A_1","학교수","2015 년","9",
"00","총계","A002","국립","A_1","학교수","2016 년","9",
"00","총계","A002","국립","A_1","학교수","2017 년","9",
"00","총계","A002","국립","A_1","학교수","2018 년","9",
"00","총계","A002","국립","A_1","학교수","2019 년","9",
"00","총계","A002","국립","A_1","학교수","2020 년","9",
"00","총계","A002","국립","A_1","학교수","2021 년","9",
"00","총계","A002","국립","A_1","학교수","2022 년","9",
"00","총계","A002","국립","A_2","남자","2013 년","1",
"00","총계","A002","국립","A_2","남자","2014 년","1",
"00","총계","A002","국립","A_2","남자","2015 년","1",
"00","총계","A002","국립","A_2","남자","2016 년","1",
"00","총계","A002","국립","A_2","남자","2017 년","1",
"00","총계","A002","국립","A_2","남자","2018 년","1",
"00","총계","A002","국립","A_2","남자","2019 년","1",
"00","총계","A002","국립","A_2","남자","2020 년","1",
"00","총계","A002","국립","A_2","남자","2021 년","1",
"00","총계","A002","국립","A_2","남자","2022 년","1",
"00","총계","A002","국립","A_3","여자","2013 년","1",
"00","총계","A002","국립","A_3","여자","2014 년","1",
"00","총계","A002","국립","A_3","여자","2015 년","1",
"00","총계","A002","국립","A_3","여자","2016 년","1",
"00","총계","A002","국립","A_3","여자","2017 년","1",
"00","총계","A002","국립","A_3","여자","2018 년","1",
"00","총계","A002","국립","A_3","여자","2019 년","1",
"00","총계","A002","국립","A_3","여자","2020 년","1",
"00","총계","A002","국립","A_3","여자","2021 년","1",
"00","총계","A002","국립","A_3","여자","2022 년","1",
"00","총계","A002","국립","A_4","공학","2013 년","7",
"00","총계","A002","국립","A_4","공학","2014 년","7",
"00","총계","A002","국립","A_4","공학","2015 년","7",
"00","총계","A002","국립","A_4","공학","2016 년","7",
"00","총계","A002","국립","A_4","공학","2017 년","7",
"00","총계","A002","국립","A_4","공학","2018 년","7",
"00","총계","A002","국립","A_4","공학","2019 년","7",
"00","총계","A002","국립","A_4","공학","2020 년","7",
"00","총계","A002","국립","A_4","공학","2021 년","7",
"00","총계","A002","국립","A_4","공학","2022 년","7",
"00","총계","A002","국립","B_0","교직원수","2017 년","424",
"00","총계","A002","국립","B_0","교직원수","2018 년","422",
"00","총계","A002","국립","B_0","교직원수","2019 년","427",
"00","총계","A002","국립","B_1","교원수","2013 년","406",
"00","총계","A002","국립","B_1","교원수","2014 년","406",
"00","총계","A002","국립","B_1","교원수","2015 년","407",
