"인천광역시","국립",1,25,666,336,32,16,5,3,112,56,110,55,25,25,-,1,25,649,327,32,15,5,2,96,48,109,56,25,25,-,1,25,637,320,32,16,4,2,96,48,105,54,32,25,-,7,-,1,25,621,311,32,16,4,2,96,48,107,56,33,25,-,8,-,1,25,599,301,32,18,4,2,96,48,112,56,33,25,-,8,-,1,25,589,294,32,14,4,4,96,48,104,54,35,25,0,10,0,1,25,575,288,32,13,4,2,96,48,109,54,35,25,0,10,0,1,25,570,288,32,12,4,1,95,48,92,46,35,25,-,10,-,1,25,579,290,33,11,3,-,99,50,94,47,35,25,-,10,-,1,25,571,286,33,10,3,1,96,48,97,48,35,25,-,10,-
"인천광역시","공립",234,6618,155346,74992,9625,7275,1064,737,24538,11767,33008,15881,7052,7030,22,236,6659,154198,74605,9764,7389,1074,738,27647,13442,29456,14196,7075,7050,25,237,6653,154532,75051,9745,7368,1043,706,26095,12802,25865,12438,8632,7048,175,1378,31,241,6671,153119,74381,9839,7432,1029,699,25508,12374,26805,13022,8820,7154,178,1458,30,243,6688,154087,74979,9847,7454,1021,724,26594,12903,25472,12353,8893,7220,211,1446,16,243,6882,156535,76135,9901,7499,988,707,26933,13043,23773,11511,8979,7383,166,1415,15,244,6896,158591,77163,9891,7496,943,697,27139,13260,24551,11812,9091,7482,149,1447,13,247,6815,154711,75395,9940,7553,931,690,24391,11979,27457,13400,9199,7555,177,1451,16,252,6880,152963,74432,9946,7559,941,707,24285,11817,25673,12650,9358,7719,187,1437,15,254,6991,153446,74760,10264,7785,917,693,24814,12073,24917,12106,9444,7784,179,1471,10
"인천광역시","사립",5,74,1906,940,91,44,16,9,388,188,235,116,73,73,-,5,73,1893,941,94,45,13,7,442,230,254,129,75,75,-,5,75,1930,967,97,47,14,7,372,189,228,113,138,75,6,57,-,5,76,1850,937,96,42,15,8,348,181,296,143,138,75,6,57,-,5,75,1784,902,104,51,14,9,336,169,268,128,134,77,9,48,-,5,74,1747,879,104,52,14,9,332,166,250,134,134,77,9,48,0,5,74,1687,839,103,50,14,9,306,146,254,125,134,77,9,48,0,5,73,1647,795,99,48,12,8,349,153,252,140,133,77,9,47,-,5,74,1729,828,102,50,12,8,381,194,222,106,133,77,9,47,-,5,75,1889,900,102,53,13,9,369,176,211,108,133,77,9,47,-
"광주광역시","계",149,4002,96055,46014,5960,4759,605,346,14536,6999,21736,10360,4263,4240,23,150,3989,93163,44548,6001,4819,612,348,15974,7633,19080,9234,4350,4334,16,153,4023,91862,44094,6013,4837,612,360,14807,7228,16428,7865,5184,4110,211,766,97,153,3985,89095,42905,6027,4848,586,353,14207,6888,16690,7917,5221,4186,182,756,97,154,3996,88189,42551,6025,4850,587,362,14893,7227,15481,7444,5225,4242,194,733,56,154,4050,88622,42780,6084,4889,594,371,14633,7087,13998,6742,5263,4311,197,704,51,155,4071,88990,42924,6068,4885,586,366,15195,7292,14440,6947,5334,4356,204,721,53,155,4044,86419,41850,6046,4857,580,384,13532,6598,15821,7551,5354,4298,198,819,39,155,4030,84998,41135,6022,4842,554,390,14196,6924,14469,7062,5395,4319,201,838,37,155,4015,83929,40670,6029,4847,556,391,13256,6388,14018,6774,5393,4348,186,819,40
"광주광역시","국립",1,25,583,292,33,7,1,1,96,48,98,48,25,25,-,1,25,582,292,33,7,2,1,96,48,97,48,25,25,-,1,25,582,289,33,8,2,1,97,48,98,49,36,9,-,9,18,1,25,587,294,33,11,-,-,100,50,99,50,36,9,-,9,18,1,25,588,296,33,15,2,1,99,50,98,48,36,27,-,9,-,1,25,581,288,34,19,2,1,100,50,98,51,35,27,0,8,0,1,25,593,297,34,24,2,1,95,47,89,42,35,27,0,8,0,1,25,576,286,34,25,2,2,96,49,98,50,35,27,-,8,-,1,25,577,285,32,19,3,3,97,48,94,45,35,27,-,8,-,1,25,581,290,33,19,2,2,93,45,97,47,35,27,-,8,-
"광주광역시","공립",145,3923,93758,44899,5865,4718,590,339,14147,6800,21349,10171,4184,4161,23,146,3910,90862,43399,5902,4776,595,341,15584,7438,18709,9041,4271,4255,16,149,3944,89562,42954,5914,4793,596,353,14416,7038,16047,7676,5004,4044,186,734,40,149,3906,86798,41755,5929,4803,571,346,13813,6691,16315,7738,5041,4120,157,724,40,150,3917,85874,41383,5926,4800,570,354,14500,7039,15117,7264,5076,4161,170,707,38,150,3971,86301,41606,5985,4832,578,365,14251,6896,13638,6568,5115,4230,173,679,33,151,3992,86687,41776,5969,4821,570,359,14824,7107,14062,6739,5186,4275,180,696,35,151,3965,84148,40727,5948,4796,564,376,13160,6410,15444,7351,5206,4217,174,794,21,151,3951,82740,40021,5928,4788,537,381,13823,6738,14093,6878,5247,4238,177,813,19,151,3936,81690,39556,5932,4790,540,383,12895,6209,13656,6597,5245,4267,162,794,22
"광주광역시","사립",3,54,1714,823,62,34,14,6,293,151,289,141,54,54,-,3,54,1719,857,66,36,15,6,294,147,274,145,54,54,-,3,54,1718,851,66,36,14,6,294,142,283,140,144,57,25,23,39,3,54,1710,856,65,34,15,7,294,147,276,129,144,57,25,23,39,3,54,1727,872,66,35,15,7,294,138,266,132,113,54,24,17,18,3,54,1740,886,65,38,14,5,282,141,262,123,113,54,24,17,18,3,54,1710,851,65,40,14,6,276,138,289,166,113,54,24,17,18,3,54,1695,837,64,36,14,6,276,139,279,150,113,54,24,17,18,3,54,1681,829,62,35,14,6,276,138,282,139,113,54,24,17,18,3,54,1658,824,64,38,14,6,268,134,265,130,113,54,24,17,18
"대전광역시","계",143,3988,93398,44787,5968,5127,559,332,14743,7092,19923,9609,4122,4112,10,143,3962,91599,44168,5976,5173,570,333,16028,7853,17620,8359,4123,4117,6,146,3997,89464,43287,6006,5256,570,345,14866,7196,15556,7402,5196,4079,166,898,53,146,3956,85939,41579,6005,5270,564,344,13683,6625,15524,7503,5191,4067,173,890,61,147,3891,84240,40835,6010,5279,557,335,14184,6869,14858,7165,5146,4073,132,869,72,148,3897,83453,40461,6030,5320,536,333,14062,6805,13330,6379,5165,4082,153,873,57,148,3888,82743,40175,6007,5292,532,346,13967,6784,13503,6490,5135,4030,153,894,58,148,3839,79807,38764,6035,5321,509,336,12584,6180,14602,7102,5084,4014,160,853,57,148,3819,77884,37814,6034,5321,491,323,12344,5947,13578,6588,4996,4001,160,790,45,149,3846,76960,37319,6037,5322,491,332,12458,6032,12708,6166,5020,4045,159,787,29
"대전광역시","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대전광역시","공립",141,3946,92043,44081,5908,5093,550,328,14507,6968,19702,9499,4080,4070,10,141,3920,90242,43457,5910,5136,559,327,15792,7735,17420,8256,4081,4075,6,144,3955,88134,42611,5944,5216,558,339,14630,7085,15363,7292,5117,4037,161,866,53,144,3914,84619,40905,5948,5233,553,338,13447,6513,15319,7396,5110,4025,160,864,61,145,3849,82919,40159,5953,5243,546,329,13948,6751,14656,7069,5087,4031,127,857,72,146,3855,82145,39791,5974,5284,525,327,13834,6691,13124,6268,5106,4040,148,861,57,146,3846,81452,39518,5951,5257,521,339,13739,6670,13314,6385,5096,4006,148,884,58,146,3797,78521,38118,5978,5287,498,329,12356,6068,14415,7000,5045,3990,155,843,57,146,3777,76633,37177,5978,5289,480,316,12122,5836,13362,6484,4959,3977,155,782,45,147,3804,75725,36687,5978,5285,480,324,12250,5928,12518,6068,4983,4021,154,779,29
